model,arm,pick_rate,control_rate,lift,lift_ci_low,lift_ci_high,picks,reps
claude-haiku-4-5,cite_source,0.4666666666666667,0.13333333333333333,0.33333333333333337,0.005504432797112879,0.5854841729425685,14,30
claude-haiku-4-5,keyword_stuff,0.36666666666666664,0.13333333333333333,0.2333333333333333,-0.07807981740399267,0.4917718414217695,11,30
claude-haiku-4-5,problem_match,0.6,0.13333333333333333,0.4666666666666667,0.12638368553856888,0.7010003624969848,18,30
claude-haiku-4-5,quotation,0.7333333333333333,0.13333333333333333,0.6,0.2587001401127136,0.8050793502187127,22,30
claude-haiku-4-5,statistic,0.43333333333333335,0.13333333333333333,0.30000000000000004,-0.02304446513801839,0.5549342103037316,13,30
gemini-3.5-flash,cite_source,0.0,0.0,0.0,-0.113517091390478,0.113517091390478,0,30
gemini-3.5-flash,keyword_stuff,0.1,0.0,0.1,-0.07891783143076182,0.2562144131526662,3,30
gemini-3.5-flash,problem_match,0.03333333333333333,0.0,0.03333333333333333,-0.10760865339562062,0.16670751396958874,1,30
gemini-3.5-flash,quotation,0.0,0.0,0.0,-0.113517091390478,0.113517091390478,0,30
gemini-3.5-flash,statistic,0.1,0.0,0.1,-0.07891783143076182,0.2562144131526662,3,30
